episode_id,show_id,season,episode,rating,votes,episode_title,is_adult,year,runtime_minutes,genre,show_title
tt0612818,tt0472954,1,7,8.4,4181,Charlie Got Molested,False,2005,19,Comedy,It's Always Sunny in Philadelphia
tt0612819,tt0472954,1,4,8.0,4184,Charlie Has Cancer,False,2005,23,Comedy,It's Always Sunny in Philadelphia
tt0612820,tt0472954,1,2,8.2,4617,Charlie Wants an Abortion,False,2005,22,Comedy,It's Always Sunny in Philadelphia
tt0612821,tt0472954,1,6,8.0,3890,The Gang Finds a Dead Guy,False,2005,22,Comedy,It's Always Sunny in Philadelphia
tt0612822,tt0472954,1,5,7.8,3973,Gun Fever,False,2005,21,Comedy,It's Always Sunny in Philadelphia
tt0612823,tt0472954,1,1,8.1,5202,The Gang Gets Racist,False,2005,22,Comedy,It's Always Sunny in Philadelphia
tt0612824,tt0472954,1,3,8.2,4515,Underage Drinking: A National Concern,False,2005,22,Comedy,It's Always Sunny in Philadelphia
tt0786802,tt0472954,2,1,8.5,4088,Charlie Gets Crippled,False,2006,23,Comedy,It's Always Sunny in Philadelphia
tt0789481,tt0472954,2,5,8.7,4218,Hundred Dollar Baby,False,2006,23,Comedy,It's Always Sunny in Philadelphia
tt0792192,tt0472954,3,1,8.5,3789,The Gang Finds a Dumpster Baby,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt0793926,tt0472954,2,4,9.2,5133,Mac Bangs Dennis' Mom,False,2006,24,Comedy,It's Always Sunny in Philadelphia
tt0818015,tt0472954,2,3,9.0,4839,Dennis and Dee Go on Welfare,False,2006,22,Comedy,It's Always Sunny in Philadelphia
tt0818156,tt0472954,2,2,8.6,4106,The Gang Goes Jihad,False,2006,23,Comedy,It's Always Sunny in Philadelphia
tt0826387,tt0472954,2,9,8.2,3469,Charlie Goes America All Over Everybody's Ass,False,2006,22,Comedy,It's Always Sunny in Philadelphia
tt0829804,tt0472954,2,6,8.4,3643,The Gang Gives Back,False,2006,23,Comedy,It's Always Sunny in Philadelphia
tt0833358,tt0472954,2,7,7.9,3413,The Gang Exploits a Miracle,False,2006,23,Comedy,It's Always Sunny in Philadelphia
tt0833359,tt0472954,2,8,7.9,3360,The Gang Runs for Office,False,2006,24,Comedy,It's Always Sunny in Philadelphia
tt0840884,tt0472954,2,10,8.5,3519,Dennis and Dee Get a New Dad,False,2006,24,Comedy,It's Always Sunny in Philadelphia
tt1027449,tt0472954,3,4,8.9,4076,The Gang Gets Held Hostage,False,2007,30,Comedy,It's Always Sunny in Philadelphia
tt1027450,tt0472954,3,6,8.3,3340,The Gang Solves the North Korea Situation,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1028236,tt0472954,3,2,8.7,3852,The Gang Gets Invincible,False,2007,22,Comedy,It's Always Sunny in Philadelphia
tt1028238,tt0472954,3,3,8.3,3292,Dennis and Dee's Mom Is Dead,False,2007,30,Comedy,It's Always Sunny in Philadelphia
tt1028239,tt0472954,3,11,8.4,3155,Dennis Looks Like a Registered Sex Offender,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1028242,tt0472954,3,8,8.4,3334,Frank Sets Sweet Dee on Fire,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1093876,tt0472954,3,10,9.0,4033,Mac Is a Serial Killer,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1111000,tt0472954,3,5,7.9,3269,The Aluminum Monster vs. Fatty Magoo,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1115245,tt0472954,3,7,8.1,3075,The Gang Sells Out,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1124745,tt0472954,3,9,9.2,5033,Sweet Dee's Dating a Retarded Person,False,2007,21,Comedy,It's Always Sunny in Philadelphia
tt1133002,tt0472954,3,12,8.1,2998,The Gang Gets Whacked: Part 1,False,2007,22,Comedy,It's Always Sunny in Philadelphia
tt1136349,tt0472954,3,13,8.3,3016,The Gang Gets Whacked: Part 2,False,2007,23,Comedy,It's Always Sunny in Philadelphia
tt1140907,tt0472954,3,14,8.5,3228,Bums: Making a Mess All Over the City,False,2007,21,Comedy,It's Always Sunny in Philadelphia
tt1141458,tt0472954,3,15,8.9,3849,The Gang Dances Their Asses Off,False,2007,22,Comedy,It's Always Sunny in Philadelphia
tt12394874,tt0472954,15,1,8.0,2754,2020: A Year In Review,False,2021,23,Comedy,It's Always Sunny in Philadelphia
tt1265806,tt0472954,4,4,8.5,3120,Mac's Banging the Waitress,False,2008,22,Comedy,It's Always Sunny in Philadelphia
tt1265807,tt0472954,4,5,9.0,3575,Mac & Charlie Die: Part 1,False,2008,21,Comedy,It's Always Sunny in Philadelphia
tt1265810,tt0472954,4,3,8.3,2757,America's Next Top Paddy's Billboard Model Contest,False,2008,22,Comedy,It's Always Sunny in Philadelphia
tt1265811,tt0472954,4,1,8.4,3263,Mac and Dennis: Manhunters,False,2008,22,Comedy,It's Always Sunny in Philadelphia
tt1265812,tt0472954,4,11,7.6,3210,The Gang Cracks the Liberty Bell,False,2008,22,Comedy,It's Always Sunny in Philadelphia
tt1265813,tt0472954,4,12,8.3,3093,The Gang Gets Extreme: Home Makeover Edition,False,2008,20,Comedy,It's Always Sunny in Philadelphia
